Gene Name,Gene Symbol,Entrez Gene ID,Classification
glycosyltransferase 8 domain containing 4,GLT8D4,727936,Glycan
glycosyltransferase-like domain containing 1,GTDC1,79712,Glycan
glycosyltransferase-like 1B,GYLTL1B,120071,Glycan
hyaluronan synthase 1,HAS1,3036,Glycan
hyaluronan synthase 2,HAS2,3037,Glycan
hyaluronan synthase 3,HAS3,3038,Glycan
like-glycosyltransferase,LARGE,9215,Glycan
lysocardiolipin acyltransferase,LYCAT,253558,Glycan
MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,MFNG,4242,Glycan
"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",MGAT1,4245,Glycan
"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",MGAT2,4247,Glycan
"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase",MGAT3,4248,Glycan
"Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A",MGAT4A,11320,Glycan
"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B",MGAT4B,11282,Glycan
"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)",MGAT4C,25834,Glycan
"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase",MGAT5,4249,Glycan
"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B",MGAT5B,146664,Glycan
"N-acetylgalactosaminidase, alpha-",NAGA,4668,Glycan
N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,NAGPA,51172,Glycan
protein O-fucosyltransferase 1,POFUT1,23509,Glycan
protein O-fucosyltransferase 2,POFUT2,23275,Glycan
"protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase",POMGNT1,55624,Glycan
protein-O-mannosyltransferase 1,POMT1,10585,Glycan
protein-O-mannosyltransferase 2,POMT2,29954,Glycan
"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",ST3GAL1,6482,Glycan
"ST3 beta-galactoside alpha-2,3-sialyltransferase 2",ST3GAL2,6483,Glycan
"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",ST3GAL3,6487,Glycan
"ST3 beta-galactoside alpha-2,3-sialyltransferase 4",ST3GAL4,6484,Glycan
"ST3 beta-galactoside alpha-2,3-sialyltransferase 5",ST3GAL5,8869,Glycan
"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",ST3GAL6,10402,Glycan
"ST6 beta-galactosamide alpha-2,6-sialyltranferase 1",ST6GAL1,6480,Glycan
"ST6 beta-galactosamide alpha-2,6-sialyltranferase 2",ST6GAL2,84620,Glycan
"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",ST6GALNAC1,55808,Glycan
"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",ST6GALNAC2,10610,Glycan
"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",ST6GALNAC3,256435,Glycan
"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",ST6GALNAC4,27090,Glycan
"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",ST6GALNAC5,81849,Glycan
"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",ST6GALNAC6,30815,Glycan
"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",ST8SIA1,6489,Glycan
"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",ST8SIA2,8128,Glycan
"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3",ST8SIA3,51046,Glycan
"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",ST8SIA4,7903,Glycan
"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",ST8SIA5,29906,Glycan
"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6",ST8SIA6,338596,Glycan
Williams-Beuren syndrome chromosome region 17,WBSCR17,64409,Glycan
xylosyltransferase I,XYLT1,64131,Glycan
xylosyltransferase II,XYLT2,64132,Glycan
"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit",DPM1,8813,Glycan Anchor
"dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit",DPM2,8818,Glycan Anchor
dolichyl-phosphate mannosyltransferase polypeptide 3,DPM3,54344,Glycan Anchor
glycosylphosphatidylinositol specific phospholipase D1,GPLD1,2822,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class A (paroxysmal nocturnal hemoglobinuria)",PIGA,5277,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class B",PIGB,9488,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class C",PIGC,5279,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class F",PIGF,5281,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class G",PIGG,54872,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class H",PIGH,5283,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class K",PIGK,10026,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class L",PIGL,9487,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class M",PIGM,93183,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class N",PIGN,23556,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class O",PIGO,84720,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class P",PIGP,51227,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class Q",PIGQ,9091,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class S",PIGS,94005,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class T",PIGT,51604,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class U",PIGU,128869,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class V",PIGV,55650,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class W",PIGW,284098,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class X",PIGX,54965,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class Y",PIGY,84992,Glycan Anchor
"phosphatidylinositol glycan anchor biosynthesis, class Z",PIGZ,80235,Glycan Anchor
aspartylglucosaminidase,AGA,175,Glycan Degradation
"ER degradation enhancer, mannosidase alpha-like 1",EDEM1,9695,Glycan Degradation
"ER degradation enhancer, mannosidase alpha-like 2",EDEM2,55741,Glycan Degradation
"ER degradation enhancer, mannosidase alpha-like 3",EDEM3,80267,Glycan Degradation
endo-beta-N-acetylglucosaminidase,FLJ21865,64772,Glycan Degradation
"fucosidase, alpha-L- 1, tissue",FUCA1,2517,Glycan Degradation
"fucosidase, alpha-L- 2, plasma",FUCA2,2519,Glycan Degradation
"galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)",GALNS,2588,Glycan Degradation
"galactosidase, alpha",GLA,2717,Glycan Degradation
"galactosidase, beta 1",GLB1,2720,Glycan Degradation
"galactosidase, beta 1-like",GLB1L,79411,Glycan Degradation
"galactosidase, beta 2-like",GLB1L2,89944,Glycan Degradation
"galactosidase, beta 1 like 3",GLB1L3,112937,Glycan Degradation
glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID),GNS,2799,Glycan Degradation
"glucuronidase, beta",GUSB,2990,Glycan Degradation
hexosaminidase A (alpha polypeptide),HEXA,3073,Glycan Degradation
hexosaminidase B (beta polypeptide),HEXB,3074,Glycan Degradation
"hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing",HEXDC,284004,Glycan Degradation
hyaluronoglucosaminidase 1,HYAL1,3373,Glycan Degradation
hyaluronoglucosaminidase 2,HYAL2,8692,Glycan Degradation
hyaluronoglucosaminidase 3,HYAL3,8372,Glycan Degradation
hyaluronoglucosaminidase 4,HYAL4,23553,Glycan Degradation
iduronate 2-sulfatase (Hunter syndrome),IDS,3423,Glycan Degradation
"iduronidase, alpha-L-",IDUA,3425,Glycan Degradation
lysozyme G-like 1,LYG1,129530,Glycan Degradation
lysozyme (renal amyloidosis),LYZ,4069,Glycan Degradation
lysozyme-like 1 ,LYZL1,119180,Glycan Degradation
lysozyme-like 2,LYZL2,84569,Glycan Degradation
lysozyme-like 4,LYZL4,131375,Glycan Degradation
lysozyme-like 6,LYZL6,57151,Glycan Degradation
"mannosidase, alpha, class 1A, member 1",MAN1A1,4121,Glycan Degradation
"mannosidase, alpha, class 1A, member 2",MAN1A2,10905,Glycan Degradation
"mannosidase, alpha, class 1B, member 1",MAN1B1,11253,Glycan Degradation
"mannosidase, alpha, class 1C, member 1",MAN1C1,57134,Glycan Degradation
"mannosidase, alpha, class 2A, member 1",MAN2A1,4124,Glycan Degradation
"mannosidase, alpha, class 2A, member 2",MAN2A2,4122,Glycan Degradation
"mannosidase, alpha, class 2B, member 1",MAN2B1,4125,Glycan Degradation
"mannosidase, alpha, class 2B, member 2",MAN2B2,23324,Glycan Degradation
"mannosidase, alpha, class 2C, member 1",MAN2C1,4123,Glycan Degradation
"mannosidase, beta A, lysosomal",MANBA,4126,Glycan Degradation
"mannosidase, beta A, lysosomal-like",MANBAL,63905,Glycan Degradation
"mannosidase, endo-alpha",MANEA,79694,Glycan Degradation
"mannosidase, endo-alpha-like",MANEAL,149175,Glycan Degradation
"N-acetylglucosaminidase, alpha- (Sanfilippo disease IIIB)",NAGLU,4669,Glycan Degradation
sialidase 1 (lysosomal sialidase),NEU1,4758,Glycan Degradation
sialidase 2 (cytosolic sialidase),NEU2,4759,Glycan Degradation
sialidase 3 (membrane sialidase),NEU3,10825,Glycan Degradation
sialidase 4,NEU4,129807,Glycan Degradation
chondroitin polymerizing factor,CHPF,79586,Glycan Sulfate
chondroitin sulfate glucuronyltransferase,CHPF2,54480,Glycan Sulfate
carbohydrate (keratan sulfate Gal-6) sulfotransferase 1,CHST1,8534,Glycan Sulfate
carbohydrate sulfotransferase 10,CHST10,9486,Glycan Sulfate
carbohydrate (chondroitin 4) sulfotransferase 11,CHST11,50515,Glycan Sulfate
carbohydrate (chondroitin 4) sulfotransferase 12,CHST12,55501,Glycan Sulfate
carbohydrate (chondroitin 4) sulfotransferase 13,CHST13,166012,Glycan Sulfate
carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14,CHST14,113189,Glycan Sulfate
carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2,CHST2,9435,Glycan Sulfate
carbohydrate (chondroitin 6) sulfotransferase 3,CHST3,9469,Glycan Sulfate
carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4,CHST4,10164,Glycan Sulfate
carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5,CHST5,23563,Glycan Sulfate
carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6,CHST6,4166,Glycan Sulfate
carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7,CHST7,56548,Glycan Sulfate
carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8,CHST8,64377,Glycan Sulfate
carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9,CHST9,83539,Glycan Sulfate
carbohydrate (chondroitin) synthase 1,CHSY1,22856,Glycan Sulfate
chondroitin synthase-2,CHSY3,337876,Glycan Sulfate
chondroitin sulfate N-acetylgalactosaminyltransferase 1,CSGALNACT1,55790,Glycan Sulfate
chondroitin sulfate N-acetylgalactosaminyltransferase 2,CSGALNACT2,55454,Glycan Sulfate
galactose-3-O-sulfotransferase 1,GAL3ST1,9514,Glycan Sulfate
galactose-3-O-sulfotransferase 2,GAL3ST2,64090,Glycan Sulfate
galactose-3-O-sulfotransferase 3,GAL3ST3,89792,Glycan Sulfate
galactose-3-O-sulfotransferase 4,GAL3ST4,79690,Glycan Sulfate
N-sulfoglucosamine sulfohydrolase (sulfamidase),SGSH,6448,Glycan Sulfate
sulfatase 1,SULF1,23213,Glycan Sulfate
sulfatase 2,SULF2,55959,Glycan Sulfate
uronyl-2-sulfotransferase,UST,10090,Glycan Sulfate
aminomethyltransferase,AMT,275,Glycine
Betaine-homocysteine methyltransferase,BHMT,635,Glycine
betaine-homocysteine methyltransferase 2,BHMT2,23743,Glycine
dimethylglycine dehydrogenase,DMGDH,29958,Glycine
glycine cleavage system protein H (aminomethyl carrier),GCSH,2653,Glycine
glycine dehydrogenase (decarboxylating),GLDC,2731,Glycine
sarcosine dehydrogenase,SARDH,1757,Glycine
ADP-dependent glucokinase,ADPGK,83440,Glycolysis
"aldolase A, fructose-bisphosphate",ALDOA,226,Glycolysis
"aldolase B, fructose-bisphosphate",ALDOB,229,Glycolysis
"aldolase C, fructose-bisphosphate",ALDOC,230,Glycolysis
"2,3-bisphosphoglycerate mutase",BPGM,669,Glycolysis
dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),DLAT,1737,Glycolysis
"enolase 1, (alpha)",ENO1,2023,Glycolysis
"enolase 2 (gamma, neuronal)",ENO2,2026,Glycolysis
"enolase 3 (beta, muscle)",ENO3,2027,Glycolysis
glyceraldehyde-3-phosphate dehydrogenase,GAPDH,2597,Glycolysis
"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",GAPDHS,26330,Glycolysis
"glucokinase (hexokinase 4, maturity onset diabetes of the young 2)",GCK,2645,Glycolysis
glucose phosphate isomerase,GPI,2821,Glycolysis
hexokinase 1,HK1,3098,Glycolysis
hexokinase 2,HK2,3099,Glycolysis
hexokinase 3 (white cell),HK3,3101,Glycolysis
hexokinase domain containing 1,HKDC1,80201,Glycolysis
pyruvate dehydrogenase (lipoamide) alpha 1,PDHA1,5160,Glycolysis
pyruvate dehydrogenase (lipoamide) alpha 2,PDHA2,5161,Glycolysis
pyruvate dehydrogenase (lipoamide) beta,PDHB,5162,Glycolysis
"pyruvate dehydrogenase complex, component X",PDHX,8050,Glycolysis
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",PFKFB1,5207,Glycolysis
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",PFKFB2,5208,Glycolysis
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",PFKFB3,5209,Glycolysis
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",PFKFB4,5210,Glycolysis
"phosphofructokinase, liver",PFKL,5211,Glycolysis
"phosphofructokinase, muscle",PFKM,5213,Glycolysis
"phosphofructokinase, platelet",PFKP,5214,Glycolysis
phosphoglycerate mutase 1 (brain) ,PGAM1,5223,Glycolysis
phosphoglycerate mutase 2 (muscle),PGAM2,5224,Glycolysis
phosphoglycerate mutase family member 4,PGAM4,441531,Glycolysis
phosphoglycerate mutase family member 5,PGAM5,192111,Glycolysis
phosphoglycerate kinase 1,PGK1,5230,Glycolysis
phosphoglycerate kinase 2,PGK2,5232,Glycolysis
phosphoglucomutase 1,PGM1,5236,Glycolysis
phosphoglucomutase 2,PGM2,55276,Glycolysis
Phosphoglucomutase 2-like 1,PGM2L1,283209,Glycolysis
phosphoglucomutase 5,PGM5,5239,Glycolysis
"pyruvate kinase, liver and RBC",PKLR,5313,Glycolysis
"pyruvate kinase, muscle",PKM2,5315,Glycolysis
triosephosphate isomerase 1,TPI1,7167,Glycolysis
glyoxalase I,GLO1,2739,Glyoxylate
glyoxalase domain containing 4,GLOD4,51031,Glyoxylate
glyoxalase domain containing 5,GLOD5,392465,Glyoxylate
hydroxyacid oxidase (glycolate oxidase) 1,HAO1,54363,Glyoxylate
hydroxyacid oxidase 2 (long chain),HAO2,51179,Glyoxylate
exostoses (multiple) 1,EXT1,2131,Heparin Sulfate
exostoses (multiple) 2,EXT2,2132,Heparin Sulfate
exostoses (multiple) 3,EXT3,2133,Heparin Sulfate
exostoses (multiple)-like 1,EXTL1,2134,Heparin Sulfate
exostoses (multiple)-like 2,EXTL2,2135,Heparin Sulfate
exostoses (multiple)-like 3,EXTL3,2137,Heparin Sulfate
glucuronic acid epimerase,GLCE,26035,Heparin Sulfate
heparan-alpha-glucosaminide N-acetyltransferase,HGSNAT,138050,Heparin Sulfate
heparanase,HPSE,10855,Heparin Sulfate
heparanase 2,HPSE2,60495,Heparin Sulfate
heparan sulfate 2-O-sulfotransferase 1,HS2ST1,9653,Heparin Sulfate
heparan sulfate (glucosamine) 3-O-sulfotransferase 1,HS3ST1,9957,Heparin Sulfate
heparan sulfate (glucosamine) 3-O-sulfotransferase 2,HS3ST2,9956,Heparin Sulfate
heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1,HS3ST3A1,9955,Heparin Sulfate
Heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1,HS3ST3B1,9953,Heparin Sulfate
heparan sulfate (glucosamine) 3-O-sulfotransferase 4,HS3ST4,9951,Heparin Sulfate
heparan sulfate (glucosamine) 3-O-sulfotransferase 5,HS3ST5,222537,Heparin Sulfate
heparan sulfate (glucosamine) 3-O-sulfotransferase 6,HS3ST6,64711,Heparin Sulfate
Heparan sulfate 6-O-sulfotransferase 1,HS6ST1,9394,Heparin Sulfate
heparan sulfate 6-O-sulfotransferase 2,HS6ST2,90161,Heparin Sulfate
heparan sulfate 6-O-sulfotransferase 3,HS6ST3,266722,Heparin Sulfate
N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1,NDST1,3340,Heparin Sulfate
N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2,NDST2,8509,Heparin Sulfate
N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3,NDST3,9348,Heparin Sulfate
N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4,NDST4,64579,Heparin Sulfate
amidohydrolase domain containing 1,AMDHD1,144193,Histidine
amidohydrolase domain containing 2,AMDHD2,51005,Histidine
formiminotransferase cyclodeaminase,FTCD,10841,Histidine
histidine ammonia-lyase,HAL,3034,Histidine
Histidine decarboxylase,HDC,3067,Histidine
histamine N-methyltransferase,HNMT,3176,Histidine
Urocanase domain containing 1,UROC1,131669,Histidine
arylalkylamine N-acetyltransferase,AANAT,15,Hormone
angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,ACE,1636,Hormone
angiotensin I converting enzyme (peptidyl-dipeptidase A) 2,ACE2,59272,Hormone
arachidonate 12-lipoxygenase,ALOX12,239,Hormone
"arachidonate 12-lipoxygenase, 12R type",ALOX12B,242,Hormone
arachidonate 15-lipoxygenase,ALOX15,246,Hormone
"arachidonate 15-lipoxygenase, type B",ALOX15B,247,Hormone
arachidonate 5-lipoxygenase,ALOX5,240,Hormone
arachidonate 5-lipoxygenase-activating protein,ALOX5AP,241,Hormone
arachidonate lipoxygenase 3,ALOXE3,59344,Hormone
amine oxidase (flavin containing) domain 1,AOF1,221656,Hormone
amine oxidase (flavin containing) domain 2,AOF2,23028,Hormone
acetylserotonin O-methyltransferase,ASMT,438,Hormone
acetylserotonin O-methyltransferase-like,ASMTL,8623,Hormone
"cytochrome P450, family 20, subfamily A, polypeptide 1",CYP20A1,57404,Hormone
"deiodinase, iodothyronine, type I",DIO1,1733,Hormone
"deiodinase, iodothyronine, type II",DIO2,1734,Hormone
"deiodinase, iodothyronine, type III",DIO3,1735,Hormone
hydroxyprostaglandin dehydrogenase 15-(NAD),HPGD,3248,Hormone
iodotyrosine deiodinase,IYD,389434,Hormone
leucyl/cystinyl aminopeptidase,LNPEP,4012,Hormone
leukotriene A4 hydrolase,LTA4H,4048,Hormone
leukotriene C4 synthase,LTC4S,4056,Hormone
membrane metallo-endopeptidase,MME,4311,Hormone
membrane metallo-endopeptidase-like 1,MMEL1,79258,Hormone
"prostaglandin D2 synthase, hematopoietic",PGDS,27306,Hormone
prostaglandin D2 synthase 21kDa (brain),PTGDS,5730,Hormone
prostaglandin E synthase,PTGES,9536,Hormone
prostaglandin E synthase 2,PTGES2,80142,Hormone
prostaglandin E synthase 3 (cytosolic),PTGES3,10728,Hormone
prostaglandin I2 (prostacyclin) synthase,PTGIS,5740,Hormone
prostaglandin reductase 1,PTGR1,22949,Hormone
prostaglandin reductase 2,PTGR2,145482,Hormone
prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase),PTGS1,5742,Hormone
prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),PTGS2,5743,Hormone
"thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)",TBXAS1,6916,Hormone
thyroid peroxidase,TPO,7173,Hormone
CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase),CDIPT,10423,Inositol Phosphate
FIG4 homolog (S. cerevisiae),FIG4,9896,Inositol Phosphate
inositol(myo)-1(or 4)-monophosphatase 1,IMPA1,3612,Inositol Phosphate
inositol(myo)-1(or 4)-monophosphatase 2,IMPA2,3613,Inositol Phosphate
inositol monophosphatase domain containing 1,IMPAD1,54928,Inositol Phosphate
inositol polyphosphate-1-phosphatase,INPP1,3628,Inositol Phosphate
"inositol polyphosphate-4-phosphatase, type I, 107kDa",INPP4A,3631,Inositol Phosphate
"inositol polyphosphate-4-phosphatase, type II, 105kDa",INPP4B,8821,Inositol Phosphate
"inositol polyphosphate-5-phosphatase, 40kDa",INPP5A,3632,Inositol Phosphate
"inositol polyphosphate-5-phosphatase, 75kDa",INPP5B,3633,Inositol Phosphate
"inositol polyphosphate-5-phosphatase, 145kDa",INPP5D,3635,Inositol Phosphate
"inositol polyphosphate-5-phosphatase, 72 kDa",INPP5E,56623,Inositol Phosphate
inositol polyphosphate-5-phosphatase F,INPP5F,22876,Inositol Phosphate
inositol polyphosphate-5-phosphatase J,INPP5J,27124,Inositol Phosphate
inositol polyphosphate-5-phosphatase K,INPP5K,51763,Inositol Phosphate
inositol polyphosphate phosphatase-like 1,INPPL1,3636,Inositol Phosphate
inositol hexaphosphate kinase 1,IP6K1,9807,Inositol Phosphate
inositol hexaphosphate kinase 2,IP6K2,51447,Inositol Phosphate
inositol hexaphosphate kinase 3,IP6K3,117283,Inositol Phosphate
inositol polyphosphate multikinase,IPMK,253430,Inositol Phosphate
"inositol 1,3,4,5,6-pentakisphosphate 2-kinase",IPPK,64768,Inositol Phosphate
myo-inositol 1-phosphate synthase A1,ISYNA1,51477,Inositol Phosphate
"inositol 1,3,4-triphosphate 5/6 kinase",ITPK1,3705,Inositol Phosphate
"inositol 1,4,5-trisphosphate 3-kinase A",ITPKA,3706,Inositol Phosphate
"inositol 1,4,5-trisphosphate 3-kinase B",ITPKB,3707,Inositol Phosphate
"inositol 1,4,5-trisphosphate 3-kinase C",ITPKC,80271,Inositol Phosphate
"multiple inositol polyphosphate histidine phosphatase, 1",MINPP1,9562,Inositol Phosphate
myo-inositol oxygenase,MIOX,55586,Inositol Phosphate
GPI deacylase,PGAP1,80055,Inositol Phosphate
phosphatidylinositol 4-kinase type 2 alpha,PI4K2A,55361,Inositol Phosphate
Phosphatidylinositol 4-kinase type 2 beta,PI4K2B,55300,Inositol Phosphate
"phosphatidylinositol 4-kinase, catalytic, alpha",PI4KA,5297,Inositol Phosphate
"phosphatidylinositol 4-kinase, catalytic, beta",PI4KB,5298,Inositol Phosphate
"phosphoinositide-3-kinase, class 2, alpha polypeptide",PIK3C2A,5286,Inositol Phosphate
"phosphoinositide-3-kinase, class 2, beta polypeptide",PIK3C2B,5287,Inositol Phosphate
"phosphoinositide-3-kinase, class 2, gamma polypeptide",PIK3C2G,5288,Inositol Phosphate
"phosphoinositide-3-kinase, class 3",PIK3C3,5289,Inositol Phosphate
"phosphoinositide-3-kinase, catalytic, alpha polypeptide",PIK3CA,5290,Inositol Phosphate
"phosphoinositide-3-kinase, catalytic, beta polypeptide",PIK3CB,5291,Inositol Phosphate
"phosphoinositide-3-kinase, catalytic, delta polypeptide",PIK3CD,5293,Inositol Phosphate
"phosphoinositide-3-kinase, catalytic, gamma polypeptide",PIK3CG,5294,Inositol Phosphate
"phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)",PIK3R1,5295,Inositol Phosphate
"phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta)",PIK3R2,5296,Inositol Phosphate
"phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)",PIK3R3,8503,Inositol Phosphate
"phosphoinositide-3-kinase, regulatory subunit 4, p150",PIK3R4,30849,Inositol Phosphate
"phosphoinositide-3-kinase, regulatory subunit 5, p101",PIK3R5,23533,Inositol Phosphate
"phosphoinositide-3-kinase, regulatory subunit 6",PIK3R6,146850,Inositol Phosphate
"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha",PIP4K2A,5305,Inositol Phosphate
"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",PIP4K2B,8396,Inositol Phosphate
"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma",PIP4K2C,79837,Inositol Phosphate
"phosphatidylinositol-4-phosphate 5-kinase, type I, alpha",PIP5K1A,8394,Inositol Phosphate
"phosphatidylinositol-4-phosphate 5-kinase, type I, beta",PIP5K1B,8395,Inositol Phosphate
"phosphatidylinositol-4-phosphate 5-kinase, type I, gamma",PIP5K1C,23396,Inositol Phosphate
"phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III",PIP5K3,200576,Inositol Phosphate
phosphatidylinositol-4-phosphate 5-kinase-like 1,PIP5KL1,138429,Inositol Phosphate
phosphatase and tensin homolog,PTEN,5728,Inositol Phosphate
synaptojanin 1,SYNJ1,8867,Inositol Phosphate
synaptojanin 2,SYNJ2,8871,Inositol Phosphate
"ATPase, class VI, type 11A",ATP11A,23250,Ion Transport
"ATPase, class VI, type 11B",ATP11B,23200,Ion Transport
"ATPase, class VI, type 11C",ATP11C,286410,Ion Transport
"ATPase, H+/K+ transporting, nongastric, alpha polypeptide",ATP12A,479,Ion Transport
"ATPase, Na+/K+ transporting, alpha 1 polypeptide",ATP1A1,476,Ion Transport
"ATPase, Na+/K+ transporting, alpha 2 polypeptide",ATP1A2,477,Ion Transport
"ATPase, Na+/K+ transporting, alpha 3 polypeptide",ATP1A3,478,Ion Transport
"ATPase, Na+/K+ transporting, alpha 4 polypeptide",ATP1A4,480,Ion Transport
"ATPase, Na+/K+ transporting, beta 1 polypeptide",ATP1B1,481,Ion Transport
"ATPase, Na+/K+ transporting, beta 2 polypeptide",ATP1B2,482,Ion Transport
"ATPase, Na+/K+ transporting, beta 3 polypeptide",ATP1B3,483,Ion Transport
"ATPase, (Na+)/K+ transporting, beta 4 polypeptide",ATP1B4,23439,Ion Transport
"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1",ATP2A1,487,Ion Transport
"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",ATP2A2,488,Ion Transport
"ATPase, Ca++ transporting, ubiquitous",ATP2A3,489,Ion Transport
"ATPase, Ca++ transporting, plasma membrane 1",ATP2B1,490,Ion Transport
"ATPase, Ca++ transporting, plasma membrane 2",ATP2B2,491,Ion Transport
"ATPase, Ca++ transporting, plasma membrane 3",ATP2B3,492,Ion Transport
"ATPase, Ca++ transporting, plasma membrane 4",ATP2B4,493,Ion Transport
"ATPase, Ca++-sequestering",ATP2C1,27032,Ion Transport
